hour,dif_tide_height,water_temp,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.029787234,0.174738509,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.055319149,0.166672805,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.080851064,0.16479449,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.093617021,0.167501473,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.09787234,0.167832941,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.076595745,0.17341264,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.034042553,0.185511196,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.055319149,0.186947555,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.076595745,0.188162934,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.080851064,0.186339864,0.479892761,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.076595745,0.199046111,0.341823056,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.046808511,0.206890837,0.237600536,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.063829787,0.199653801,0.188002681,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.583333333,0.055319149,0.219265616,0.19593387,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.625,0.072340426,0.236778138,0.253798034,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.666666667,0.072340426,0.244070419,0.363827419,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.708333333,0.089361702,0.237220094,0.480563003,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.75,0.063829787,0.252578079,0.605786416,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.791666667,0.05106383,0.253627725,0.696045576,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.833333333,0.025531915,0.241971126,0.729445934,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.875,0.042553191,0.21992855,0.704758713,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.085106383,0.182969947,0.586461126,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.089361702,0.189599293,0.457327971,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.114893617,0.205454479,0.311327078,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.046808511,0.180152475,0.186931394,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.017021277,0.196946818,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.05106383,0.18871538,0.209338695,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.085106383,0.215508986,0.302725648,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.119148936,0.229927814,0.438114388,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.059574468,0.225342516,0.553619303,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.055319149,0.23230333,0.629021448,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.017021277,0.218547437,0.664991064,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.063829787,0.205123011,0.630138517,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.093617021,0.188273424,0.525022341,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.068085106,0.185811095,0.407283289,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.080851064,0.204239098,0.271112601,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
