hour,tide_variation,current_speed,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.070254111,0.431772199,0.214180548,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.121076233,0.382090671,0.243632708,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.477578475,0.21251405,0.290661305,0.528301887,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.247384155,0.064818284,0.405719392,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.208333333,0.210014948,0.099213188,0.50893655,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.292974589,0.252978644,0.618521001,0.367924528,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.168161435,0.368977145,0.674486148,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,0.248878924,0.335481454,0.655719392,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.266816143,0.322967403,0.580205541,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.323617339,0.196178344,0.479892761,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.458333333,0.49103139,0.167103784,0.341823056,0.509433962,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.5,0.216741405,0.317647059,0.237600536,0.5,0,1,2,0.065637066,0.306218964,0.03007337,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.010694533
0.541666667,0.288490284,0.32798801,0.188002681,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.583333333,0.160687593,0.294792057,0.19593387,0.20754717,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.625,0.452167414,0.202322967,0.253798034,0.150943396,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.666666667,0.188340807,0.037766954,0.363827419,0.141509434,0,1,1,0.155984556,0.306218964,0.075419813,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.025415244
0.708333333,0.432735426,0.142300487,0.480563003,0.132075472,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.75,0.303437967,0.278905957,0.605786416,0.103773585,0,1,5,0.196138996,0.306218964,0.097223831,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.031957782
0.791666667,0.119581465,0.400524541,0.696045576,0,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.833333333,0.047085202,0.356837767,0.729445934,0.075471698,0,1,5,0.196138996,0.306218964,0.097223831,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.031957782
0.875,0.122571001,0.323716748,0.704758713,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
