,hour,wave_height,water_temp,tide_variation,tide_height,cluster
43,0.8333333333333334,0.07800586488633568,0.2618591633063816,0.06576980568011959,0.7474307419571046,7
90,0.7916666666666666,0.08973607040228412,0.29655273999603793,0.2862481315396114,0.5571939231233243,7
298,0.6666666666666666,0.07096774171752909,0.3435658516038793,0.1360239162929746,0.06758266306970509,3
348,0.75,0.1847507331811732,0.39378314684554616,0.06726457399103139,0.15382037533512066,3
349,0.7916666666666666,0.1782991200418297,0.3767678254645752,0.2040358744394619,0.2037533512064343,3
369,0.625,0.10205278594769564,0.3522944906017369,0.1883408071748879,0.503239499530831,7
371,0.7083333333333334,0.09560117280835218,0.4096935770211236,0.3512705530642751,0.32182752459785524,1
396,0.75,0.05219941373658637,0.4274270773209865,0.1973094170403588,0.3325513851876676,3
468,0.75,0.2375366569472227,0.4493039188124055,0.05680119581464872,0.6209785522788203,4
491,0.7083333333333334,0.159530792060887,0.4691919565318776,0.09267563527653214,0.642202859919571,4
493,0.7916666666666666,0.11847507310697365,0.4384759873861155,0.08295964125560537,0.6624218049597853,4
534,0.5,0.3143695017746322,0.4061026811007966,0.1180866965620329,0.2478775692359249,3
538,0.6666666666666666,0.2662756596519122,0.4243333823436459,0.37518684603886404,0.4223637176273457,1
539,0.7083333333333334,0.22580645143127426,0.4276480552968913,0.31689088191330345,0.5329535299597854,7
540,0.75,0.19413489717164453,0.4242781380154033,0.2877428998505232,0.6362823947721178,7
559,0.5416666666666666,0.1102639298792408,0.4289739244781894,0.10762331838565024,0.16052278820375335,3
560,0.5833333333333334,0.1102639298792408,0.4504640543460414,0.07922272047832586,0.15538427164879354,3
561,0.625,0.11143694993816702,0.4854890983310223,0.2443946188340808,0.20799821266756036,3
562,0.6666666666666666,0.10205278594769564,0.4842184741409013,0.3617339312406577,0.3061885611930295,1
585,0.625,0.03695014663623463,0.4706283150325956,0.33482810164424515,0.11047810542895442,3
610,0.6666666666666666,0.08211143720401443,0.5345462580390534,0.16292974588938716,0.10668007151474533,3
611,0.7083333333333334,0.08093841644127586,0.5380819096311379,0.32810164424514204,0.223637176072386,1
612,0.75,0.07507331403520781,0.5700685036299558,0.31988041853512705,0.3752234137399463,1
635,0.7083333333333334,0.258331112084066,0.5275151339945539,0.2219730941704036,0.12086684537533512,3
653,0.4583333333333333,0.181818181626233,0.4482542725981893,0.06427503736920777,0.7058757821715818,2
657,0.625,0.2129032258563996,0.4756254350988879,0.22571001494768314,0.10958445040214476,3
658,0.6666666666666666,0.20762463347979465,0.5448217441941139,0.03736920777279522,0.04211349416890081,3
659,0.7083333333333334,0.19589442796384615,0.5679692105385887,0.2309417040358745,0.07841823056300268,3
660,0.75,0.17947214080456825,0.5573070127599609,0.3236173393124066,0.19526362821715815,3
680,0.625,0.2269794721940128,0.4511571226285085,0.5994020926756353,0.22508936548257366,1
681,0.6666666666666666,0.2363636361844841,0.503885533221534,0.1696562032884903,0.09361036642091153,3
682,0.7083333333333334,0.22580645143127426,0.5591853272124887,0.021674140508221227,0.06680071494638071,3
683,0.75,0.23519061612555794,0.5651517385283302,0.17189835575485798,0.1272341376005362,3
701,0.5,0.19472140790492,0.503940778212711,0.08221225710014947,0.6853217158176943,2
704,0.625,0.2084244204594544,0.474118765755486,0.35276532137518685,0.34148793565683644,1
705,0.6666666666666666,0.20117302034045112,0.5015652621542621,0.2384155455904335,0.1831992850536193,3
706,0.7083333333333334,0.20938416427199627,0.5476502653351947,0.07249626307922273,0.09092940127345844,3
725,0.5,0.08328445726294065,0.5392420451647741,0.10986547085201794,0.6588471849865951,2
729,0.6666666666666666,0.124340176216854,0.5030568649832226,0.4835575485799701,0.2960232350536193,1
733,0.8333333333333334,0.12524660061589366,0.5383631543277443,0.3744394618834081,0.2345844504021448,1
774,0.5833333333333334,0.4299120233266656,0.5685216558098181,0.14050822122571002,0.6285746199731902,8
775,0.625,0.5348973608293015,0.5503461995581458,0.027653213751868463,0.6248882928954422,8
776,0.6666666666666666,0.606451613280106,0.5434958750128156,0.3430493273542601,0.5717158176943699,8
777,0.7083333333333334,0.5835777129814846,0.5534298497505687,0.13004484304932734,0.4813449508713137,8
