hour,wave_height,water_temp,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.354252199,0.174738509,0.070254111,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.343108504,0.166672805,0.121076233,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.382404692,0.16479449,0.477578475,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.361876833,0.167501473,0.247384155,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.298533725,0.167832941,0.210014948,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.291495601,0.17341264,0.292974589,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.269794721,0.185511196,0.168161435,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.269208211,0.186947555,0.248878924,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.250439883,0.188162934,0.266816143,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.305571848,0.186339864,0.323617339,0.479892761,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.347800587,0.199046111,0.49103139,0.341823056,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.341348974,0.206890837,0.216741405,0.237600536,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.541666667,0.334310851,0.199653801,0.288490284,0.188002681,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.583333333,0.331378299,0.219265616,0.160687593,0.19593387,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.625,0.284457478,0.236778138,0.452167414,0.253798034,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.666666667,0.240469209,0.244070419,0.188340807,0.363827419,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.708333333,0.207038123,0.237220094,0.432735426,0.480563003,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.75,0.188856305,0.252578079,0.303437967,0.605786416,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.791666667,0.181818182,0.253627725,0.119581465,0.696045576,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.150733138,0.241971126,0.047085202,0.729445934,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.875,0.134897361,0.21992855,0.122571001,0.704758713,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.167741935,0.182969947,0.201046338,0.586461126,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.17829912,0.189599293,0.307174888,0.457327971,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.197067449,0.205454479,0.491778774,0.311327078,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.217595308,0.180152475,0.234678625,0.186931394,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.083333333,0.22111437,0.196946818,0.032137519,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.207624633,0.18871538,0.141255605,0.209338695,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.223460411,0.215508986,0.157698057,0.302725648,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.219354839,0.229927814,0.564275037,0.438114388,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.243401759,0.225342516,0.205530643,0.553619303,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.262756598,0.23230333,0.100149477,0.629021448,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.259824047,0.218547437,0.047832586,0.664991064,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.129618769,0.205123011,0.161434978,0.630138517,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.249853372,0.188273424,0.444693572,0.525022341,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.263929619,0.185811095,0.36696562,0.407283289,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.252199413,0.204239098,0.358744395,0.271112601,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.541666667,0.213489736,0.222635533,0.11509716,0.171470063,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.583333333,0.184750733,0.27202416,0.068759342,0.136617516,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.625,0.161290323,0.283515027,0.198804185,0.15113941,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.666666667,0.139589443,0.268930466,0.423019432,0.258378016,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.708333333,0.107331378,0.276443724,0.270553064,0.394883825,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
