hour,wave_height,current_dir,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.354252199,0.065231481,0.214180548,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.343108504,0.066666667,0.243632708,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.382404692,0.107685185,0.290661305,0.528301887,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.361876833,0.529652778,0.405719392,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.298533725,0.667453704,0.50893655,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.291495601,0.612638889,0.618521001,0.367924528,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.269794721,0.591157408,0.674486148,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.269208211,0.542407408,0.655719392,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.250439883,0.502407408,0.580205541,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.305571848,0.419606481,0.479892761,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.458333333,0.347800587,0.226435185,0.341823056,0.509433962,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.5,0.341348974,0.128842593,0.237600536,0.5,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.541666667,0.334310851,0.092314815,0.188002681,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.583333333,0.331378299,0.055,0.19593387,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.625,0.284457478,0.091111111,0.253798034,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.666666667,0.240469209,0.240949074,0.363827419,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.708333333,0.207038123,0.589722222,0.480563003,0.132075472,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
