hour,wave_height,current_dir,wind_dir,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(drifting),p(pred|drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.354252199,0.065231481,0.472777778,0.029787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.343108504,0.066666667,0.527222222,0.055319149,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.382404692,0.107685185,0.576388889,0.080851064,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.361876833,0.529652778,0.534166667,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.298533725,0.667453704,0.555,0.09787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.291495601,0.612638889,0.570555556,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.269794721,0.591157408,0.595555556,0.034042553,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.269208211,0.542407408,0.548611111,0.055319149,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.250439883,0.502407408,0.622222222,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.305571848,0.419606481,0.61,0.080851064,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.458333333,0.347800587,0.226435185,0.603055556,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.5,0.341348974,0.128842593,0.593888889,0.046808511,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.541666667,0.334310851,0.092314815,0.618055556,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.583333333,0.331378299,0.055,0.63,0.055319149,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.625,0.284457478,0.091111111,0.779444444,0.072340426,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.666666667,0.240469209,0.240949074,0.681388889,0.072340426,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.708333333,0.207038123,0.589722222,0.583333333,0.089361702,0,1,10,0.098395722,0.221092457,0.030046855,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.02220481
0.75,0.188856305,0.556435185,0.040277778,0.063829787,0,1,9,0.069518717,0.221092457,0.020766738,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.015688181
0.791666667,0.181818182,0.56912037,0,0.05106383,0,1,9,0.069518717,0.221092457,0.020766738,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.015688181
0.833333333,0.150733138,0.546550926,0.072222222,0.025531915,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.875,0.134897361,0.52025463,0.043888889,0.042553191,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.167741935,0.435439815,0.055833333,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.17829912,0.178449074,0.133611111,0.089361702,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.197067449,0.101342593,0.117222222,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.217595308,0.074513889,0.090277778,0.046808511,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.22111437,0.057060185,0.126944444,0.017021277,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.207624633,0.045833333,0.146388889,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.223460411,0.7375,0.222222222,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
