hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.029787234,0.065231481,0.354252199,0.431772199,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.055319149,0.066666667,0.343108504,0.382090671,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.080851064,0.107685185,0.382404692,0.21251405,0.528301887,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.093617021,0.529652778,0.361876833,0.064818284,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.09787234,0.667453704,0.298533725,0.099213188,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.076595745,0.612638889,0.291495601,0.252978644,0.367924528,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.034042553,0.591157408,0.269794721,0.368977145,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.055319149,0.542407408,0.269208211,0.335481454,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.076595745,0.502407408,0.250439883,0.322967403,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.416666667,0.080851064,0.419606481,0.305571848,0.196178344,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.458333333,0.076595745,0.226435185,0.347800587,0.167103784,0.509433962,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.5,0.046808511,0.128842593,0.341348974,0.317647059,0.5,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.541666667,0.063829787,0.092314815,0.334310851,0.32798801,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.583333333,0.055319149,0.055,0.331378299,0.294792057,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.625,0.072340426,0.091111111,0.284457478,0.202322967,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.666666667,0.072340426,0.240949074,0.240469209,0.037766954,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.708333333,0.089361702,0.589722222,0.207038123,0.142300487,0.132075472,0,1,16,0.083547558,0.183967841,0.02013832,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.022658785
0.75,0.063829787,0.556435185,0.188856305,0.278905957,0.103773585,0,1,10,0.064267352,0.183967841,0.015247559,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017429835
0.791666667,0.05106383,0.56912037,0.181818182,0.400524541,0,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.833333333,0.025531915,0.546550926,0.150733138,0.356837767,0.075471698,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.875,0.042553191,0.52025463,0.134897361,0.323716748,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.085106383,0.435439815,0.167741935,0.152191832,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.089361702,0.178449074,0.17829912,0.184938179,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.114893617,0.101342593,0.197067449,0.382914949,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.046808511,0.074513889,0.217595308,0.456650431,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.017021277,0.057060185,0.22111437,0.435893593,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.125,0.05106383,0.045833333,0.207624633,0.370550768,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.085106383,0.7375,0.223460411,0.252603971,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
