hour,water_temp,wave_height,current_speed,wind_speed,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.174738509,0.354252199,0.431772199,0.339622642,0.070254111,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.083333333,0.166672805,0.343108504,0.382090671,0.264150943,0.121076233,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.125,0.16479449,0.382404692,0.21251405,0.528301887,0.477578475,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.166666667,0.167501473,0.361876833,0.064818284,0.339622642,0.247384155,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.208333333,0.167832941,0.298533725,0.099213188,0.41509434,0.210014948,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.25,0.17341264,0.291495601,0.252978644,0.367924528,0.292974589,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.291666667,0.185511196,0.269794721,0.368977145,0.433962264,0.168161435,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.333333333,0.186947555,0.269208211,0.335481454,0.235849057,0.248878924,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.375,0.188162934,0.250439883,0.322967403,0.462264151,0.266816143,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.416666667,0.186339864,0.305571848,0.196178344,0.462264151,0.323617339,0.479892761,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.458333333,0.199046111,0.347800587,0.167103784,0.509433962,0.49103139,0.341823056,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.5,0.206890837,0.341348974,0.317647059,0.5,0.216741405,0.237600536,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.541666667,0.199653801,0.334310851,0.32798801,0.396226415,0.288490284,0.188002681,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.583333333,0.219265616,0.331378299,0.294792057,0.20754717,0.160687593,0.19593387,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.625,0.236778138,0.284457478,0.202322967,0.150943396,0.452167414,0.253798034,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.666666667,0.244070419,0.240469209,0.037766954,0.141509434,0.188340807,0.363827419,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.708333333,0.237220094,0.207038123,0.142300487,0.132075472,0.432735426,0.480563003,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.75,0.252578079,0.188856305,0.278905957,0.103773585,0.303437967,0.605786416,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.791666667,0.253627725,0.181818182,0.400524541,0,0.119581465,0.696045576,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.833333333,0.241971126,0.150733138,0.356837767,0.075471698,0.047085202,0.729445934,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.875,0.21992855,0.134897361,0.323716748,0.08490566,0.122571001,0.704758713,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.916666667,0.182969947,0.167741935,0.152191832,0.132075472,0.201046338,0.586461126,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.958333333,0.189599293,0.17829912,0.184938179,0.226415094,0.307174888,0.457327971,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
1,0.205454479,0.197067449,0.382914949,0.254716981,0.491778774,0.311327078,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.041666667,0.180152475,0.217595308,0.456650431,0.254716981,0.234678625,0.186931394,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.083333333,0.196946818,0.22111437,0.435893593,0.339622642,0.032137519,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.125,0.18871538,0.207624633,0.370550768,0.29245283,0.141255605,0.209338695,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.166666667,0.215508986,0.223460411,0.252603971,0.254716981,0.157698057,0.302725648,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.208333333,0.229927814,0.219354839,0.116672911,0.264150943,0.564275037,0.438114388,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.25,0.225342516,0.243401759,0.087523417,0.330188679,0.205530643,0.553619303,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.291666667,0.23230333,0.262756598,0.189584114,0.028301887,0.100149477,0.629021448,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.333333333,0.218547437,0.259824047,0.348070438,0.132075472,0.047832586,0.664991064,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.375,0.205123011,0.129618769,0.378269015,0.047169811,0.161434978,0.630138517,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.416666667,0.188273424,0.249853372,0.369201948,0.103773585,0.444693572,0.525022341,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.458333333,0.185811095,0.263929619,0.097939303,0.20754717,0.36696562,0.407283289,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.5,0.204239098,0.252199413,0.199400524,0.320754717,0.358744395,0.271112601,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
0.541666667,0.222635533,0.213489736,0.327913076,0.433962264,0.11509716,0.171470063,0,0,0,0,0,0,0,0,0.949397021,0.070236613,0,0
