hour,dif_tide_height,current_dir,water_temp,current_speed,wind_speed,wind_dir,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.029787234,0.065231481,0.174738509,0.431772199,0.339622642,0.472777778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.083333333,0.055319149,0.066666667,0.166672805,0.382090671,0.264150943,0.527222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.080851064,0.107685185,0.16479449,0.21251405,0.528301887,0.576388889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.093617021,0.529652778,0.167501473,0.064818284,0.339622642,0.534166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.09787234,0.667453704,0.167832941,0.099213188,0.41509434,0.555,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.25,0.076595745,0.612638889,0.17341264,0.252978644,0.367924528,0.570555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.291666667,0.034042553,0.591157408,0.185511196,0.368977145,0.433962264,0.595555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.055319149,0.542407408,0.186947555,0.335481454,0.235849057,0.548611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.076595745,0.502407408,0.188162934,0.322967403,0.462264151,0.622222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.080851064,0.419606481,0.186339864,0.196178344,0.462264151,0.61,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.076595745,0.226435185,0.199046111,0.167103784,0.509433962,0.603055556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.046808511,0.128842593,0.206890837,0.317647059,0.5,0.593888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.541666667,0.063829787,0.092314815,0.199653801,0.32798801,0.396226415,0.618055556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.583333333,0.055319149,0.055,0.219265616,0.294792057,0.20754717,0.63,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.625,0.072340426,0.091111111,0.236778138,0.202322967,0.150943396,0.779444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.666666667,0.072340426,0.240949074,0.244070419,0.037766954,0.141509434,0.681388889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.089361702,0.589722222,0.237220094,0.142300487,0.132075472,0.583333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.063829787,0.556435185,0.252578079,0.278905957,0.103773585,0.040277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.05106383,0.56912037,0.253627725,0.400524541,0,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.833333333,0.025531915,0.546550926,0.241971126,0.356837767,0.075471698,0.072222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.875,0.042553191,0.52025463,0.21992855,0.323716748,0.08490566,0.043888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.916666667,0.085106383,0.435439815,0.182969947,0.152191832,0.132075472,0.055833333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.958333333,0.089361702,0.178449074,0.189599293,0.184938179,0.226415094,0.133611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
1,0.114893617,0.101342593,0.205454479,0.382914949,0.254716981,0.117222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.041666667,0.046808511,0.074513889,0.180152475,0.456650431,0.254716981,0.090277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.083333333,0.017021277,0.057060185,0.196946818,0.435893593,0.339622642,0.126944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.05106383,0.045833333,0.18871538,0.370550768,0.29245283,0.146388889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.085106383,0.7375,0.215508986,0.252603971,0.254716981,0.222222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.119148936,0.914884259,0.229927814,0.116672911,0.264150943,0.028611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.25,0.059574468,0.661412037,0.225342516,0.087523417,0.330188679,0.146111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.291666667,0.055319149,0.56337963,0.23230333,0.189584114,0.028301887,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.017021277,0.556365741,0.218547437,0.348070438,0.132075472,0.413611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.063829787,0.525347222,0.205123011,0.378269015,0.047169811,0.474722222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.093617021,0.515740741,0.188273424,0.369201948,0.103773585,0.610277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.068085106,0.362314815,0.185811095,0.097939303,0.20754717,0.618611111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.080851064,0.160393519,0.204239098,0.199400524,0.320754717,0.588333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.541666667,0.05106383,0.07912037,0.222635533,0.327913076,0.433962264,0.654166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.583333333,0.029787234,0.056180556,0.27202416,0.351592357,0.358490566,0.673333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.625,0.05106383,0.078935185,0.283515027,0.271487448,0.264150943,0.618055556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.666666667,0.080851064,0.12974537,0.268930466,0.104608468,0.349056604,0.654722222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.072340426,0.545486111,0.276443724,0.103859123,0.330188679,0.6675,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.093617021,0.577453704,0.287050678,0.276133383,0.198113208,0.984444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.059574468,0.562986111,0.283128315,0.367103784,0.075471698,0.771666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.833333333,0.021276596,0.57212963,0.261859163,0.45477707,0.235849057,0.6775,1,1,20,0.016556291,0.071411681,0.001292998,0.985981308,0.050602979,0.949397021,0.022665006,0.698675497,0.011567475
0.875,0.029787234,0.53400463,0.271858426,0.419258149,0.169811321,0.803888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.916666667,0.055319149,0.511365741,0.226613141,0.304233795,0.075471698,0.690555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.958333333,0.09787234,0.341157408,0.200592958,0.168077932,0.113207547,0.075833333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
1,0.093617021,0.131990741,0.221585887,0.304233795,0.066037736,0.564166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.041666667,0.085106383,0.073935185,0.211641868,0.502884975,0.018867925,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.083333333,0.029787234,0.053032407,0.205343989,0.540352192,0.08490566,0.5775,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.034042553,0.046180556,0.213962139,0.458448857,0.047169811,0.559444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.076595745,0.428194444,0.198106953,0.297414762,0.169811321,0.5725,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.106382979,0.908564815,0.202692251,0.104083927,0.150943396,0.321666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.25,0.089361702,0.738310185,0.217166323,0.106107156,0.103773585,0.37,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.291666667,0.055319149,0.624259259,0.225563494,0.214387411,0.113207547,0.3575,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.034042553,0.585208333,0.228767678,0.414687149,0.122641509,0.468888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.025531915,0.547268519,0.225397761,0.467890596,0.08490566,0.590277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.059574468,0.539467593,0.203907631,0.396253278,0.254716981,0.576388889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.072340426,0.495601852,0.198714644,0.282128138,0.066037736,0.033888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.10212766,0.275454545,0.202978518,0.148458735,0.103773585,0.007222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.541666667,0.059574468,0.114791667,0.21567472,0.292993631,0.20754717,0.628333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.583333333,0.029787234,0.06962963,0.220591485,0.402173098,0.150943396,0.605555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.625,0.05106383,0.042430556,0.222801267,0.365605095,0.141509434,0.736944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.666666667,0.110638298,0.497800926,0.222746022,0.250131135,0.094339623,0.0325,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.106382979,0.884191919,0.285242674,0.110364794,0.122641509,0.939166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.127659574,0.716666667,0.29412198,0.124840764,0.056603774,0.8225,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.114893617,0.610046296,0.282078668,0.209441738,0.169811321,0.567777778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.833333333,0.055319149,0.566712963,0.268654243,0.405020607,0.264150943,0.580833333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.875,0.05106383,0.537453704,0.231253683,0.43297115,0.311320755,0.646666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
