hour,current_dir,water_temp,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.065231481,0.174738509,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.066666667,0.166672805,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.107685185,0.16479449,0.528301887,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.529652778,0.167501473,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.667453704,0.167832941,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.612638889,0.17341264,0.367924528,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.591157408,0.185511196,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.542407408,0.186947555,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.502407408,0.188162934,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.419606481,0.186339864,0.462264151,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.226435185,0.199046111,0.509433962,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.128842593,0.206890837,0.5,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.092314815,0.199653801,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.583333333,0.055,0.219265616,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.625,0.091111111,0.236778138,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.666666667,0.240949074,0.244070419,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.708333333,0.589722222,0.237220094,0.132075472,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.75,0.556435185,0.252578079,0.103773585,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.791666667,0.56912037,0.253627725,0,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.833333333,0.546550926,0.241971126,0.075471698,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.52025463,0.21992855,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.435439815,0.182969947,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.178449074,0.189599293,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.101342593,0.205454479,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.074513889,0.180152475,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.057060185,0.196946818,0.339622642,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.045833333,0.18871538,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.7375,0.215508986,0.254716981,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.914884259,0.229927814,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.661412037,0.225342516,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.56337963,0.23230333,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.556365741,0.218547437,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.525347222,0.205123011,0.047169811,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.515740741,0.188273424,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.362314815,0.185811095,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.160393519,0.204239098,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
