hour,wave_height,water_temp,dif_tide_height,current_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.354252199,0.174738509,0.029787234,0.431772199,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.343108504,0.166672805,0.055319149,0.382090671,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.382404692,0.16479449,0.080851064,0.21251405,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.361876833,0.167501473,0.093617021,0.064818284,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.298533725,0.167832941,0.09787234,0.099213188,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.291495601,0.17341264,0.076595745,0.252978644,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.269794721,0.185511196,0.034042553,0.368977145,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.269208211,0.186947555,0.055319149,0.335481454,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.250439883,0.188162934,0.076595745,0.322967403,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.305571848,0.186339864,0.080851064,0.196178344,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.347800587,0.199046111,0.076595745,0.167103784,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.341348974,0.206890837,0.046808511,0.317647059,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.334310851,0.199653801,0.063829787,0.32798801,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.583333333,0.331378299,0.219265616,0.055319149,0.294792057,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.625,0.284457478,0.236778138,0.072340426,0.202322967,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.240469209,0.244070419,0.072340426,0.037766954,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.708333333,0.207038123,0.237220094,0.089361702,0.142300487,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.75,0.188856305,0.252578079,0.063829787,0.278905957,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.791666667,0.181818182,0.253627725,0.05106383,0.400524541,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.833333333,0.150733138,0.241971126,0.025531915,0.356837767,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.875,0.134897361,0.21992855,0.042553191,0.323716748,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.167741935,0.182969947,0.085106383,0.152191832,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.17829912,0.189599293,0.089361702,0.184938179,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.197067449,0.205454479,0.114893617,0.382914949,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.217595308,0.180152475,0.046808511,0.456650431,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.22111437,0.196946818,0.017021277,0.435893593,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.207624633,0.18871538,0.05106383,0.370550768,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.223460411,0.215508986,0.085106383,0.252603971,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.219354839,0.229927814,0.119148936,0.116672911,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.243401759,0.225342516,0.059574468,0.087523417,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.291666667,0.262756598,0.23230333,0.055319149,0.189584114,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.259824047,0.218547437,0.017021277,0.348070438,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.129618769,0.205123011,0.063829787,0.378269015,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.249853372,0.188273424,0.093617021,0.369201948,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.263929619,0.185811095,0.068085106,0.097939303,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.252199413,0.204239098,0.080851064,0.199400524,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.213489736,0.222635533,0.05106383,0.327913076,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.583333333,0.184750733,0.27202416,0.029787234,0.351592357,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.161290323,0.283515027,0.05106383,0.271487448,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.666666667,0.139589443,0.268930466,0.080851064,0.104608468,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
