hour,wave_height,current_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.354252199,0.431772199,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.343108504,0.382090671,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.382404692,0.21251405,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.361876833,0.064818284,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.298533725,0.099213188,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.291495601,0.252978644,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.269794721,0.368977145,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.269208211,0.335481454,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.250439883,0.322967403,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.305571848,0.196178344,0.479892761,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.458333333,0.347800587,0.167103784,0.341823056,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.5,0.341348974,0.317647059,0.237600536,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.541666667,0.334310851,0.32798801,0.188002681,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.583333333,0.331378299,0.294792057,0.19593387,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.625,0.284457478,0.202322967,0.253798034,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.666666667,0.240469209,0.037766954,0.363827419,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.708333333,0.207038123,0.142300487,0.480563003,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.75,0.188856305,0.278905957,0.605786416,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.791666667,0.181818182,0.400524541,0.696045576,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.833333333,0.150733138,0.356837767,0.729445934,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.875,0.134897361,0.323716748,0.704758713,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.167741935,0.152191832,0.586461126,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.17829912,0.184938179,0.457327971,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.197067449,0.382914949,0.311327078,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.217595308,0.456650431,0.186931394,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.22111437,0.435893593,0.174262735,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.207624633,0.370550768,0.209338695,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.223460411,0.252603971,0.302725648,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.219354839,0.116672911,0.438114388,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.243401759,0.087523417,0.553619303,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.262756598,0.189584114,0.629021448,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.259824047,0.348070438,0.664991064,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.129618769,0.378269015,0.630138517,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.249853372,0.369201948,0.525022341,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.458333333,0.263929619,0.097939303,0.407283289,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.5,0.252199413,0.199400524,0.271112601,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.541666667,0.213489736,0.327913076,0.171470063,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.583333333,0.184750733,0.351592357,0.136617516,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.625,0.161290323,0.271487448,0.15113941,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.666666667,0.139589443,0.104608468,0.258378016,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.708333333,0.107331378,0.103859123,0.394883825,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.75,0.099120234,0.276133383,0.534182306,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.791666667,0.096774194,0.367103784,0.673815907,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.833333333,0.078005865,0.45477707,0.747430742,1,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.875,0.079765396,0.419258149,0.750670241,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.084457478,0.304233795,0.676720286,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.102052786,0.168077932,0.545911528,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.11143695,0.304233795,0.367515639,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.117888563,0.502884975,0.203522612,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.118475073,0.540352192,0.109137623,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.123167155,0.458448857,0.096738159,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.130205279,0.297414762,0.188561215,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.137829912,0.104083927,0.348413762,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.120821115,0.106107156,0.511282395,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.108504399,0.214387411,0.625335121,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.103225807,0.414687149,0.697944593,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.117302053,0.467890596,0.69919571,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.11085044,0.396253278,0.625335121,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.458333333,0.09032258,0.282128138,0.508378016,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
