['hour'  'dif_tide_height'  'water_temp'  'tide_height'],7,{6: 10  8: 12  7: 20  4: 13  11: 5  9: 7  3: 7  5: 16  13: 1  10: 4  12: 5}
['hour'  'dif_tide_height'  'current_dir'  'water_temp'  'current_speed'  'wind_speed'  'wind_dir'  'tide_height'],46,{43: 2  46: 7  48: 4  50: 2  27: 3  30: 3  36: 6  40: 3  47: 6  26: 3  37: 5  32: 2  33: 2  34: 3  42: 4  18: 1  45: 7  41: 4  49: 6  38: 5  21: 2  24: 1  35: 3  29: 2  28: 3  20: 1  31: 3  39: 3  44: 1  14: 1  19: 1  23: 1}
['hour'  'current_dir'  'current_speed'  'wind_speed'  'tide_variation'  'wind_dir'  'tide_height'],18,{46: 3  18: 10  32: 3  44: 2  47: 2  13: 4  8: 3  16: 5  27: 1  29: 1  20: 5  15: 5  19: 4  22: 2  50: 2  33: 2  23: 1  12: 3  17: 3  30: 2  43: 3  45: 2  10: 6  11: 2  21: 7  25: 2  40: 1  24: 4  36: 1  26: 1  14: 2  34: 1  39: 2  28: 1  41: 1  37: 1}
['hour'  'dif_tide_height'  'current_dir'  'current_speed'  'wind_speed'  'tide_height'],20,{22: 3  28: 1  12: 6  10: 7  26: 3  17: 6  30: 2  20: 9  25: 8  18: 5  38: 2  11: 2  33: 2  37: 1  21: 3  19: 5  9: 3  16: 8  13: 3  36: 1  42: 2  27: 1  31: 2  35: 2  46: 1  24: 2  15: 4  7: 1  8: 1  14: 3  32: 1}
['hour'  'current_dir'  'wave_height'  'current_speed'  'wind_speed'  'wind_dir'],13,{8: 2  13: 10  19: 8  9: 4  15: 2  14: 5  48: 1  17: 8  25: 3  18: 4  20: 5  34: 2  6: 1  30: 2  24: 2  23: 2  31: 3  11: 9  7: 1  16: 4  26: 2  35: 4  37: 1  10: 6  28: 1  27: 1  12: 2  38: 1  22: 1  33: 1  32: 1  44: 1}
['hour'  'wave_height'  'tide_variation'  'dif_tide_height'  'current_speed'],6,{11: 5  5: 14  6: 19  10: 9  13: 5  7: 13  16: 1  8: 7  9: 13  18: 1  4: 10  15: 1  12: 1  19: 1}
['hour'  'dif_tide_height'  'water_temp'  'wave_height'  'current_speed'  'tide_variation'],8,{8: 10  9: 9  5: 6  43: 1  19: 3  11: 6  15: 3  14: 3  26: 2  7: 10  17: 5  10: 4  22: 4  21: 4  23: 2  6: 6  13: 5  28: 2  16: 3  36: 1  25: 2  12: 3  24: 1  18: 2  20: 2  30: 1}
['hour'  'dif_tide_height'  'current_dir'  'tide_height'  'wind_speed'],6,{17: 3  16: 4  11: 7  5: 4  7: 7  10: 10  9: 8  15: 2  19: 2  23: 1  8: 10  18: 4  6: 14  13: 10  14: 4  12: 4  4: 6}
['hour'  'dif_tide_height'  'current_dir'  'wind_speed'  'wind_dir'  'tide_height'],15,{8: 3  13: 3  28: 4  21: 5  10: 7  12: 4  15: 10  31: 2  26: 4  11: 4  20: 7  18: 1  9: 6  16: 4  17: 7  24: 2  14: 4  41: 1  7: 5  19: 6  27: 2  39: 1  25: 3  44: 1  6: 1  32: 1  29: 1  22: 1}
['hour'  'wave_height'  'current_speed'  'wind_speed'  'tide_variation'  'tide_height'],12,{9: 4  12: 11  23: 4  7: 9  14: 10  8: 4  10: 6  6: 5  15: 3  11: 5  20: 5  17: 8  5: 3  26: 1  18: 5  19: 4  16: 4  21: 1  13: 6  25: 1  40: 1}
